;Phrase
363;"La gente se entusiasmó; comenzó a contar los días en el calendario, mientras esperaba ansiosamente al cartero que les llevaría las invitaciones"
364;Muy pronto las invitaciones come nzaron a salir a raudales y la oficina de correos de Hobbiton quedó bloqueada y la de Delagua abrumada y hubo que contratar carteros voluntarios
365;Un río continuo de carteros trepó por la loma llevando cientos de corteses variantes de: Gracias, iré con mucho gusto
366;En la entrada de Bolsón Cerrado apareció un cartel que decía: Prohibida la entrada excepto por asuntos de la fiesta
367;Aun a aquellos que se ocupaban o pretendían ocuparse de asuntos de la fiesta raras veces se les permitió la entrada
368;Bilbo trabajaba escribiendo invitaciones, registrando respuestas, envolviendo regalos y haciendo algunos preparativos privados
369;Había permanecido oculto desde la llegada de Gandalf
370;Una mañana, los hobbits despertaron y vieron que el prado del sur junto a la puerta principal de Bilbo estaba cubierto con cuerdas y estacas para tiendas y pabellones
371;Se había abierto una entrada especial en la barranca que daba al camino y se habían construido allí unos escalones anchos y una gran puerta blanca
372;Las tres familias hobbits de Bolsón de Tirada, el terreno lindero, estaban muy interesadas y eran envidiadas por todos
373;El Tío Gamyi hasta dejó de aparentar que trabajaba en el jardín
374;Los pabellones comenzaron a elevarse
375;Había uno particularmente amplio, tan grande que el árbol que crecía en el terreno cabía dentro y se erguía orgullosamente a un lado, a la cabecera de la mesa principal
376;Se colgaron linternas de todas las ramas
377;Algo aún más promisorio para la mentalidad hobbit: se levantó una enorme cocina al aire libre, en la esquina norte del campo
378;Un ejército de cocineros procedentes de todas las posadas y casas de comidas de muchas millas a la redonda, llegó a ayudar a los enanos y a todos los curiosos personajes que estaban acuartelados en Bolsón Cerrado
379;La excitación llegó a su punto culminante
380;De pronto el cielo se nubló
381;Esto ocurrió el miércoles, víspera de la fiesta
382;La ansiedad era intensa
383;Amaneció el esperado jueves 22 de septiembre
384;El sol se levantó, las nubes desaparecieron, se enarbolaron las banderas, y la diversión comenzó
385;Bilbo Bolsón la llamaba una «fiesta», pero era en realidad una variedad de entretenimientos combinados
386;Prácticamente habían sido invitados todos los que vivían cerca
387;Muy pocos fueron omitidos por error, pero esto no tuvo importancia, pues lo mismo acudieron
388;Invitaron además a mucha gente de El Señor de los anillos: La Comunidad del anillo 22 otras partes de la Comarca y hasta unos pocos de más allá de las fronteras
389;Bilbo mismo recibía a los invitados (y acompañantes) junto a la nueva puerta blanca
390;Repartió regalos a todos y muchos a algunos que salían por los fondos y volvían a entrar por la puerta principal
391;Los hobbits, cuando cumplían años, acostumbraban hacer regalos a los demás
392;"Regalos no muy caros, generalmente, y no tan pródigos como en esta ocasión; pero no era un mal sistema"
393;En verdad, en Hobbiton y en Delagua todos los días del año era el cumpleaños de alguien y por lo tanto todo hobbit tenía una oportunidad segura de recibir un regalo al menos una vez por semana
394;Nunca se cansaban de los regalos
395;En esta ocasión los regalos fueron desacostumbradamente buenos
396;Los niños hobbits estaban tan excitados que por un rato se olvidaron de comer
397;Había juguetes nunca vistos, todos hermosos y algunos evidentemente mágicos
398;Muchos de ellos habían sido encargados un año antes y los habían traído de la Montaña y del Valle, y eran piezas auténticas, fabricadas por Enanos
399;Cuando todos estuvieron dentro, y luego de dárseles la bienvenida, hubo canciones, danzas, música, juegos y como era de esperar, comida y bebida
400;Había tres comidas oficiales: almuerzo, merienda y cena, pero el almuerzo y la merienda se distinguieron principalmente por el hecho de que todos los invitados estaban sentados y comían juntos
401;En otros momentos había sólo grupos de gente que comían y bebían, sucediéndose sin interrupción desde las once hasta las seis y media, hora en que comenzaron los fuegos de artificio
402;"Los fuegos de artificio eran de Gandalf; no sólo los había traído, sino que los había preparado y fabricado"
403;El mismo disparó los más extraños, las piezas y los cohetes voladores
404;"Hubo también una generosa distribución de buscapiés, petardos, bengal as, cohetes, antorchas, estrellitas, velas de enano, fuentes élficas, duendes ladradores y truenos; todos soberbios"
405;"El arte de Gandalf progresaba con los años.Hubo cohetes como un vuelo de pájaros centelleantes, de dulces voces; hubo árboles verdes, con troncos de humo oscuro, y hojas que se abrían en una súbita primavera; de las ramas brillantes caían flores resplandecientes sobre los hobbits maravillados y des parecían dejando un suave aroma en el instante mismo en que ya iban a tocar los rostros vueltos hacia arriba.Hubo fuentes de mariposas que volaban entre los árboles, columnas de fuegos coloreados que se elevaban transformándose en águilas, o barcos de vela, o una bandada de cisnes voladores"
406;"Hubo un trueno y relámpago rojo, y luego una lluvia amarilla; un bosque de lanzas plateadas se alzó, de pronto con alaridos de batalla y cayó en el agua siseando como cien serpientes enardecidas"
407;"Y también hubo una última sorpresa dedicada a Bilbo, que dejó atónitos a los hobbits, como lo deseaba Gandalf.Las luces se apagaron; una gran humareda subió en el aire, tomando la forma de una montaña lejana, vomitando llamas escarlatas y verdes, Y de esas llamas salió volando n dragón rojo y dorado, no de tamaño natural, pero sí de terrible aspecto"
408;Le brotaba fuego de la boca y le relampagueaban los ojos
409;Se oyó de pronto un rugido y el dragón pasó tres veces como una exhalación sobre las cabezas de la multitud
410;Todos se agacharon y muchos cayeron de bruces, El dragón se alejó como un tren expreso, dio un triple salto mortal y estalló sobre Delagua con un estruendo ensordecedor, El Señor de los anillos: La Comunidad del anillo 23 ¡La señal para la cena! dijo Bilbo, El susto y la alarma se disiparon inmediatamente y los postrados hobbits se incorporaron de un salto
411;Hubo una espléndida cena para todos, excepto los invitados a la cena especial de la familia que se sirvió en el pabellón, Se limitaron las invitaciones a doce docenas (número que los hobbits llamaban a esa, aunque el término no se considerara apropiado para contar gente) y los invitados fueron seleccionados entre todas las familias a las que Bilbo y Frodo estaban unidos por lazos de parentesco, con el agregado especial de unos pocos amigos, como Gandalf
412;"Se incluyeron muchos niños hobbits, co n el permiso de las familias, pues los hobbits no acostaban temprano a los niños y los sentaban a la mesa junto con los mayores, especialmente cuando se trataba de conseguir una comida gratis.La crianza de los niños hobbits demandaba una gran cantidad de cereales.Había muchos de los Bolsón y de los Boffin, también de los Tuk y los Brandigamo; varios de los Cavada, parientes de la abuela de Bilbo Bolsón y varios Redondo, relacionados con el abuelo Tuk; y una selección de los Bolger, Cíñatiesa, Cometa, Ganapié, Madriguera, Tallabuena y Tejonera"
413;Algunos sólo eran parientes lejanos de Bilbo y otros apenas habían estado alguna vez en Hobbiton, pues vivían en los remotos confines de la Comarca
414;No se olvidó a los SacovillaBolsón
415;Estaban presentes Otho y su esposa Lobelia
416;Le tenían antipatía a Bilbo y detestaban a Frodo, pero les pareció que no era posible rechazar una invitación escrita con tinta dorada en una magnífica tarjeta
417;Además el primo Bilbo se había especializado en la buena cocina durante muchos años y su mesa era muy apreciada
418;Los ciento cuarenta y cuatro invitados, sin excepción, esperaban un banquete agradable, aunque temían el discurso del anfitrión luego de la comida (inevitable ítem)
419;"Bilbo era aficionado a insertar fragmentos de algo que él llamaba poesía, aunque fueran traídos de los pelos; y algunas veces, después de un vaso o dos, aludía a las aventuras absurdas de su misterioso viaje"
420;"Los invitados no quedaron chasqueados; habían tenido una fiesta muy agradable, en una palabra un verdadero placer: rica, abundante, variada y prolongada"
421;La adquisición de provisiones en todo el distrito durante la semana siguiente fue casi nula, cosa sin importancia, pues Bilbo había agotado las reservas de la mayoría de las tiendas, bodegas y almacenes en muchas millas a la redonda
422;El festín concluía (no del todo) y vino el discurso
423;La mayor parte de los invitados se encontraba de un humor apacible, en ese delicioso estado en que «se repletan los últimos rincones» como ellos decían
424;Estaban sorbiendo ahora sus bebidas favoritas y saboreando sus golosinas predilectas y ya no tenían nada que temer
425;Por lo tanto estaban preparados para escuchar cualquier cosa y aplaudir en todas las pausas
426;Mi querido pueblo, comenzó Bilbo incorporándose
427;¡Atención, atención! gritaron todos a coro, poco dispuestos a cumplir lo que ellos mismos aconsejaban
428;Bilbo dejó su lugar y se subió a una silla bajo el árbol iluminado
429;"La luz de la linterna le caía sobre la cara radiante; en el chaleco de seda resplandecían unos botones dorados"
430;Todos podían verlo de pie, agitando una mano en el aire y la otra metida en el bolsillo del pantalón
431;Mis queridos Bolsón y Boffin, comenzó nuevamente y mis queridos Tuk y Bolger y Brandigamo y Cavada y Redondo y Madriguera y Corneta y Ciñatiesa, Tallabuena, Tejonera y Ganapié
432;El Señor de los anillos: La Comunidad del anillo 24 ¡Ganapié! gritó un viejo hobbit desde el fondo del pabellón
433;Tenía en verdad el nombre que merecía
434;Los pies, que había puesto sobre la mesa, eran grandes y excepcionalmente velludos
435;Ganapié, repitió Bilbo
436;También mis buenos SacovillaBolsón, a quienes doy por fin la bienvenida a Bolsón Cerrado
437;Hoy es mi cumpleaños centésimo decimoprimero: ¡tengo ciento once años! ¡Hurra! ¡Hurra! ¡Por muchos años! gritaron los hobbits golpeando alegremente sobre las mesas
438;Bilbo estaba magnífico
439;Ese era el tipo de discurso que les gustaba: corto y obvio
440;Deseo que lo estén pasando tan bien como yo
441;Se oyeron aplausos ensordecedores y gritos de Sí (y No)
442;Ruido de trompetas y cuernos, pitos y flautas y otros instrumentos musicales
443;"Había muchos niños hobbits, como se ha dicho, e hicieron reventar cientos de petardos musicales; casi todos traían estampada la marca Valle, lo que no significaba mucho para la mayoría de los hobbits, aunque todos estaban de acuerdo en que eran petardos maravillosos"
444;Dentro de los petardos venían unos instrumentos pequeños pero de fabricación perfecta y sonidos encantadores
445;En efecto, en un rincón, algunos de los jóvenes Tuk y Brandigamo, en la creencia de que el tío Bilbo había terminado (pues había dicho sencillamente todo lo que tenía q ue decir), improvisaron una orquesta y se pusieron a tocar una pieza bailable
446;El señor Everardo Tuk y la señorita Melilot Brandigamo se subieron a una mesa y llevando unas campanitas en las manos empezaron a bailar el «Repique de campanas», bonita danza aunque algo vigorosa
447;Pero Bilbo no había terminado
448;Le pidió la corneta a un niño que estaba allí cerca, se la llevó a la boca y sopló tres veces fuertemente
449;El ruido se calmó
450;¡No les distraeré mucho tiempos, gritó Bilbo entre aplausos
451;Los he reunido a todos con un propósito
452;"Algo en el tono de Bilbo impresionó entonces a los hobbits; se hizo casi el silencio"
453;Uno o dos Tuk alzaron las orejas
454;En realidad, con tres propósitos
455;En primer lugar, para poder decirles lo mucho que los quiero y lo breves que son ciento once años entre hobbits tan maravillosos y admirables
456;Tremendo estallido de aprobación.No conozco a la mitad de ustedes, ni la mitad de lo que querría y lo que yo querría es menos de la mitad de lo que la mitad de ustedes merece
457;Esto fue inesperado y bastante difícil
458;Se oyeron algunos aplausos aislados, pero la mayoría se quedó callada, tratando de descifrar las palabras de Bilbo y viendo si podía entenderlas como un cumplido.En segundo lugar, para celebrar mi cumpleaños
459;Aplausos nuevamente
460;Tendría que decir: nuestro cumpleaños, pues es también el cumpleaños de mi sobrino y heredero Frodo
461;Hoy entra en la mayoría de edad y en posesión de la herencia
462;Se volvieron a escuchar algunos aplausos superficiales de los mayores y algunos gritos de «¡Frodo! ¡Frodo! ¡Viva el viejo Frodo!» de los más jóvenes
463;Los SacovillaBolsón fruncieron el ceño y se preguntaron qué habría querido decir Bilbo con las palabras «posesión de la herencia»
464;Juntos sumamos ciento cuarenta y cuatro años
465;El número de ustedes fue elegido para corresponder a este notable total, una gruesa, si se me permite la expresión
466;Ningún aplauso
467;Era ridículo
468;Muchos de los invitados, El Señor de los anillos: La Comunidad del anillo 25 especialmente los SacovillaBolsón se si ntieron insultados, entendiendo que se los había invitado sólo para completar un número, como mercaderías en un paquete
469;Una gruesa, en efecto.¡Qué expresión tan vulgar! También es, si me permiten que me remonte a la historia antigua, el aniversario de mi llegada en tonel a Esgarot, en Lago Largo, aunque en aquella ocasión olvidé por completo mi cumpleaños
470;Sólo tenía cincuenta y uno entonces, y cumplir años no me parecía tan importante
471;El banquete fue espléndido, de todos modos, aunque recuerdo que yo estaba muy acatarrado y sólo pude decir «Mucha gracia»
472;Ahora les digo más correctamente: Muchas gracias por asistir a mi pequeña fiesta
473;Silencio obstinado
474;Todos temían la inminencia de una canción o de una poesía y estaban empezando a aburrirse.¿Acaso no podía terminar de hablar y dejarlos beber a sus anchas? Pero Bilbo ni cantó ni recitó
475;Hizo una breve pausa
476;En tercer lugar y finalmente, ¡quiero hacer un anuncio! Pronunció esta última palabra en voz tan alta y tan repentinamente que quienes todavía podían se incorporaron en seguida
477;Lamento anunciarles que aunque ciento once años es tiempo demasiado breve para vivir entre ustedes, como ya dije, esto es el fin
478;Me voy
479;"Los dejo ahora.¡Adiós! Bilbo bajó de la silla y desapareció: hubo un relámpago enceguecedor y todos los invitados parpadearon; y cuando abrieron de nuevo los ojos, Bilbo ya no estaba"
480;"Ciento cuarenta y cuatro hobbits miraron boquiabiertos y sin habla; el viejo Odo Ganapié quitó los pies de encima de la mesa y pateó el suelo"
481;Siguió un silencio mortal, hasta que de pronto, luego de unos profundos suspiros, todos los Bolsón, Boffin, Tuk, Brandigamo, Cavada, Redondo, Madriguera, Bolger, Ciñatiesa, Tejonera, Tallabuena, Corneta y Ganapié, comenzaron a hablar al mismo tiempo
482;La mayoría estuvo de acuerdo: la broma había sido de muy mal gusto y necesitaban más comida y bebida para curarse de la impresión y el mal rato.«Está loco
483;Siempre lo dije» fue quizás el comentario más popular
484;Hasta los Tuk (excepto unos pocos) pensaron que la conducta de Bilbo había sido absurda y casi todos dieron por sentado que la desaparición no era más que una farsa ridícula
485;Pero el viejo Rory Brandigamo no estaba tan seguro
486;Ni la edad ni la gran comilona le habían nublado la razón y le dijo a su nuera Esmeralda: En todo esto hay algo sospechoso, mi querida
487;Yo creo que el loco Bolsón ha vuelto a irse
488;Viejo tonto
489;Pero ¿por qué preocuparnos si no se ha llevado las vituallas? Llamó a voces a Frodo para que ordenase servir más vino
490;Frodo era el único de los presentes que no había dicho nada
491;Durante un tiempo permaneció en silencio, junto a la silla vacía de Bilbo, ignorando todas las preguntas y conjeturas
492;Se había divertido con la broma, por supuesto, aunque estaba prevenido
493;"Le había costado contener la risa ante la sorpresa indignada de los invitados, pero al mismo tiempo se sentía perturbado de veras; descubría de pronto que amaba tiernamente al viejo hobbit"
494;La mayor parte de los invitados continuó bebien do, comiendo y discutiendo las rarezas presentes y pasadas de Bilbo Bolsón, pero los SacovillaBolsón se fueron en seguida, furiosos
495;"Frodo ya no quiso saber nada con la fiesta; ordenó servir más vino, se puso de pie, vació la copa en silencio, a la salud de Bilbo y se deslizó fuera del pabellón.El Señor de los anillos: La Comunidad del anillo 26 En cuanto a Bilbo Bolsón, mientras pronunciaba el discurso no dejaba de juguetear con el Anillo de oro que tenía en el bolsillo, el Anillo mágico que había guardado en secreto tantos años"
496;Cuando bajó de la silla se deslizó el Anillo en el dedo y ningún hobbit volvió a verlo en Hobbiton
497;Regresó a su agujero a paso vivo y se quedó allí unos instantes, escuchando con una sonrisa la algarabía del pabellón y los alegres sonidos que venían de otros lugares del campo
498;Luego entró
499;Se quitó la ropa de fiesta, dobló y envolvió en papel de seda el chaleco de seda bordado y lo guardó
500;Se puso rápidamente algunas viejas vestiduras y se aseguró el chaleco con un gastado cinturón de cuero
501;De él colgó una espada corta, en una vaina deteriorada de cuero negro
502;De una gaveta cerrada con llave que olía a bolas de alcanfor tomó un viejo manto y un gorro
503;"Habían estado guardados bajo llave como si fuesen un tesoro, pero estaban tan remendados y desteñidos por el tiempo que el color original apenas podía adivinarse (verde oscuro quizá); por otra parte eran demasiado grandes para él"
504;Luego fue a su escritorio, tomó de una caja grande y pesada un atado envuelto en viejos trapos, un manuscrito encuadernado en cuero y un sobre abultado
505;Puso el libro y el atado dentro de una pesada maleta que ya estaba casi llena
506;Metió dentro del sobre el Anillo de oro y la cadena, selló el sobre y escribió el nombre de Frodo
507;En un principio lo puso sobre la repisa de la chimenea, pero de pronto cambió de idea y se lo guardó en el bolsillo
508;En ese momento se abrió la puerta y Gandalf entró apresuradamente
509;Hola dijo Bilbo, estaba pensando si vendrías
510;Me alegra encontrarte visible repuso el mago, sentándose en una silla
511;Quería decirte unas pocas palabras finales
512;Supongo que crees que todo ha salido espléndidamente y de acuerdo con lo planeado
513;Sí, lo creo dijo Bilbo
514;Aunque el relámpago me sorprendió
515;Me sobresalté de veras y no digamos nada de los otros.¿Fue un pequeño agregado tuyo? Sí
516;Tuviste la prudencia de mantener en secreto el Anillo todos estos años y me pareció necesario dar a los invitados algo que explicase tu desaparición repentina
517;Y me arruinaste la broma
518;"Eres un viejo entrometido rió Bilbo; pero tienes razón, como de costumbre"
519;Así es, cuando sé algo
520;Pero no me siento demasiado seguro en todo este asunto, que ha llegado a su punto final
521;Has hecho tu broma, has alarmado y ofendido a la mayoría de tus parientes y has dado a toda la Comarca tema de que hablar durante nueve días, o mejor aún, noventa y nueve.¿Piensas ir más lejos? Sí, lo haré
522;"Tengo necesidad de un descanso; un descanso muy largo, como te he dicho; probablemente un descanso permanente; no creo que vuelva"
523;En realidad no tengo la intención de volver y he hecho todos los arreglos necesarios
524;"Estoy viejo, Gandalf; no lo parezco, pero estoy comenzando a sentirlo en las raíces del corazón.¡Bien conserva do! resopló"
525;En verdad me siento adelgazado, estirado, ¿entiendes lo que quiero decir?, como un pedacito de manteca extendido sobre demasiado pan
526;Eso no puede ser
527;Necesito un cambio, o algo.El Señor de los anillos: La Comunidad del anillo 27 Gandalf lo miró curiosa y atentamente.No, no me parece bien dijo pensativo
528;Aunque creo que tu plan es quizá lo mejor
529;De cualquier manera, me he decidido
530;"Quiero ver nuevamente montañas, Gandalf, montañas; y luego encontrar algún lugar donde pueda descansar, en paz y tranquilo, sin un montón de parientes merodeando y una sarta de malditos visitantes colgados de la campanilla"
531;He de encontrar un lugar donde pueda terminar mi libro
532;He pensado un hermoso final: «Vivió feliz aun después del fin de sus días.» Gandalf rió.Que así sea
533;Pero nadie leerá el libro, cualquiera sea el final
534;Oh, lo leerán, en años venideros
535;Frodo ha leído algo a medida que lo iba escribiendo
536;"Pondrás un ojo en Frodo.¿Lo harás? Sí, lo haré; pondré los dos ojos, mientras los conserve"
537;Frodo hubiera venido conmigo, por supuesto, si se lo hubiese pedido
538;En realidad me lo ofreció una vez, precisamente antes de la fiesta, pero él aún no lo deseaba de veras
539;Quiero ver de nuevo el campo salvaje y las montañas, antes de morir
540;Frodo todavía ama la Comarca, los campos, bosques y arroyos
541;Se sentirá cómodo aquí
542;Le dejaré todo, naturalmente, excepto unas pocas menudencias
543;Creo que será feliz cuando se acostumbre a estar solo
544;Ya es hora de que sea su propio dueño
545;¿Todo? dijo Gandalf.¿También el Anillo? Dijiste que se lo dejarías
546;Bueno...sí, supongo que sí tartamudeó Bilbo.¿Dónde está? Ya que quieres saberlo, en un sobre dijo Bilbo con impaciencia
547;Allí, sobre la repisa de la chimenea
548;Bueno, ¡no! ¡Lo tengo aquí, en el bolsillo! Titubeó y murmuró entre dientes ¿No es una tontería ahora? Después de todo, sí, ¿por qué no? ¿Por qué no dejarlo aquí? Gandalf volvió a mirar a Bilbo muy duramente, con un fulgor en los ojos.Creo, Bilbo dijo con calma, que yo lo dejaría.¿No es lo que deseas? Sí y no
549;Ahora que tocamos el tema, te diré que me disgusta separarme de él
550;Y no sé por qué habría de hacerlo
551;Pero ¿qué pretendes? preguntó Bilbo y la voz le cambió de un modo extraño
552;Hablaba ahora en un tono áspero, suspicaz y molesto
553;Tú estás siempre fastidiándome con el Anillo y nunca con las otras cosas que traje del viaje
554;Tuve que fastidiarte dijo Gandalf
555;Quería conocer la verdad
556;Era importante
557;"Los anillos mágicos son...bueno, mágicos; raros y curiosos"
558;Estaba profesionalmente interesado en tu Anillo, puedes decir, y todavía lo estoy
559;Me gustaría saber por dónde anda, si te marchas de nuevo
560;Y también pienso que lo has tenido bastante
561;Ya no lo necesitarás, Bilbo, a menos que yo me equivoque
562;Bilbo enrojeció y un resplandor colérico le encendió la mirada
563;El rostro bondadoso se le endureció de pronto
564;¿Por qué no? gritó .¿Y qué te importa saber lo que hago con mis propias co sas? Es mío
565;Yo lo encontré
566;El vino a mí
567;"Sí, sí dijo Gandalf; no hay por qué enojarse"
568;Si me enojo es por tu culpa
569;Te vuelvo a repetir que es mío
570;Mío
571;Mi tesoro
572;Sí, mi tesoro
573;La cara del mago seguía grave y atenta y sólo una luz vacilante en los ojos profundos mostraba que estaba asombrado, y aun alarmado
574;Alguien lo llamó así dijo, y no fuiste tú
575;Pero yo lo llamo así ahora.¿Por qué no? Aunque una vez Gollum haya dicho lo mismo
576;Ya no es de él, sino mío y repito que lo conservaré.El Señor de los anillos: La Comunidad del anillo 28 Gandalf se puso de pie
577;Habló con severidad
578;Serás un tonto si lo haces, Bilbo dijo .Cada palabra que dices lo muestra más claramente
579;Tiene demasiado poder sobre ti.¡Déjalo! Entonces podrás irte y serás libre
580;Iré adonde quiera y haré lo que me dé la gana continuó Bilbo con obstinación
581;¡Ya, ya, mi querido hobbit! dijo Gandalf .Durante toda tu larga vida hemos sido amigos y algo me debes.¡Vamos! Haz lo que prometiste, déjalo
582;¡Bueno, si tú quieres mi Anillo, dilo! gritó Bilbo
583;Pero no lo tendrás
584;No entregaré mi tesoro, te lo advierto.La mano del hobbit se movió con rapidez hacia la empuñadura de la pequeña espada
585;Los ojos de Gandalf relampaguearon.Pronto me llegará el momento de enojarme dijo
586;Atrévete a repetirlo y verás al descubierto a Gandalf el Gris
587;Gandalf dio un paso hacia el hobbit y pareció agrandarse, amenazante, y su sombra llenó la habitación
588;Bilbo retrocedió hacia la pared, respirando agitadamente, la mano apretada sobre el bolsillo
589;Se enfrentaron un momento, observándose mutuamente y el aire vibró en el cuarto
590;Los ojos de Gandalf se quedaron clavados en el hobbit
591;Bilbo aflojó poco a poco las manos y se echó a temblar
592;No me lo explico, Gandalf dijo
593;Nunca te había visto así antes
594;¿Qué ocurre? Es mío, ¿no es verdad? Yo lo encontré y Gollum me habría matado si no lo hubiera tenido conmigo
595;No soy un ladrón, diga lo que diga
596;Nunca te llamé ladrón respondió Gandalf, y yo tampoco lo soy
597;No estoy tratando de robarte, sino de ayudarte
598;Sería bueno que confiaras en mí, como hasta ahora
599;Se volvió, y la sombra se esfumó en el aire
600;Gandalf pareció achicarse hasta ser de nuevo un viejo gris, encorvado e inquieto
601;Bilbo se restregó los ojos.Lo lamento, pero me siento muy raro y sin embargo sería un alivio, en cierto modo, no tener que preocuparme más
602;Me ha obsesionado en los últimos tiempos
603;A veces me parecía un ojo que me miraba
604;Siempre tenía ganas de ponérmelo y desaparecer, ¿sabes?, y luego quería sacármelo, temiendo que fuera peligroso
605;Traté de guardarlo bajo llave, pero me di cuenta de que no podía descansar si no lo tenía en el bolsillo
606;No sé por qué
607;Y no me siento capaz de decidirme
608;Entonces confía en mí dijo Gandalf .Ya está todo resuelto
609;Vete y déjalo
610;Renuncia a tenerlo y dáselo a Frodo, a quien yo cuidaré
611;Bilbo se quedó un momento tenso e indeciso
612;Al fin suspiró y dijo con esfuerzo: Bien, lo haré.Se encogió de hombros y sonrió tristemente
613;Al fin y al cabo, para esto se hizo la fiesta: para regalar muchas cosas y en cierto modo para que no me costara tanto dejar también el Anillo
614;No fue cosa fácil al final, pero sería una lástima desperdiciar tantos preparativos
615;Arruinar la broma
616;En efecto respondió Gandalf
617;Suprimiría el único motivo que siempre le vi al asunto
618;Muy bien dijo Bilbo, se lo dejaré a Frodo con todo lo demás.Tomó aliento
619;Y ahora tengo que partir, o alguien me pescará
620;Ya he dicho adiós y no podría empezar otra vez.Recogió la maleta y fue hacia la puerta
621;Todavía tienes el Anillo dijo el mago.El Señor de los anillos: La Comunidad del anillo 29 ¡Sí, lo tengo! gritó Bilbo
622;Y mi testamento y todos los otros documentos también
623;Es mejor que los tomes tú y los entregues en mi nombre
624;Será lo más seguro
625;No, no me des el Anillo dijo Gandalf
626;Ponlo sobre la repisa de la chimenea
627;"Estará seguro allí hasta que llegue Frodo; yo lo esperaré"
628;Bilbo sacó el sobre y justo en el momento en que lo colocaba junto al reloj, le tembló la mano y el paquete cayó al suelo
629;Antes que pudiera levantarlo, el mago se agachó, lo recogió y lo puso en su lugar
630;Un espasmo de rabia cruzó fugazmente otra vez por la cara del hobbit y casi en seguida se transformó en un gesto de alivio y en una risa
631;Bien, ya está comentó
632;Ahora sí, ¡me voy! Pasaron al vestíbulo
633;Bilbo tomó su bastón favorito y silbó
634;Tres enanos vinieron de tres distintas habitaciones
635;¿Está todo listo? preguntó Bilbo.¿Todo embalado y rotulado? Todo contestaron
636;¡Entonces, en marcha! Y caminó hacia la puerta del frente
637;Era una noche magnífica y se veía el cielo oscuro salpicado de estrellas
638;Bilbo miró, olfateando el aire
639;¡Qué alegría! ¡Qué alegría estar nuevamente en camino con los enanos! ¡Años y años estuve esperando este momento! ¡Adiós! dijo mirando a su viejo hogar e inclinándose delante de la puerta.¡Adiós, Gandalf! Adiós por ahora, Bilbo.¡Ten cuidado! Eres bastante viejo y quizá bastante sabio
640;¡Tener cuidado! No me importa.¡No te preocupes por mí! Me siento más feliz que nunca, lo que es mucho decir
641;Pero la hora ha llegado
642;Al fin me voy
643;En seguida, en voz baja, como para sí mismo, se puso a cantar en la oscuridad: El camino sigue y sigue desde la puerta
644;El camino ha ido muy lejos, y si es posible he de seguirlo recorriéndole con pie decidido hasta llegar a un camino más ancho donde se encuentran senderos y cursos
645;¿Y de ahí adónde iré? No podría decirlo
646;Bilbo se detuvo en silencio, un momento
647;Luego, sin pronunciar una palabra, se alejó de las luces y voces de los campos y tiendas, y seguido por sus tres compañeros dio una vuelta al jardín y bajó trotando la larga pendiente
648;Saltó un cerco bajo y fue hacia los prados, internándose en la noche como un susurro de viento entre las briznas
649;Gandalf se quedó un momento mirando cómo desaparecía en la oscuridad.Adiós, mi querido Bilbo, hasta nuestro próximo encuentro dijo dulcemente, y entró en la casa, Frodo llegó poco después y encontró a Gandalf sentado en la penumbra y absorto en sus pensamientos
650;¿Se fue? le preguntó.El Señor de los anillos: La Comunidad del anillo 30 Sí respondió Gandalf, al fin se fue
651;Deseaba, es decir, esperaba hasta esta tarde que todo fuese una broma dijo Frodo
652;Pero el corazón me decía que era verdad
653;Siempre bromeaba sobre cosas serias
654;Lamento no haber venido antes para verlo partir
655;Bueno, creo que al fin prefirió irse sin alboroto dijo Gandalf No te preocupes tanto
656;Se encontrará bien, ahora
657;Dejó un paquete para ti.¡Ahí está! Frodo tomó el sobre de la repisa, le echó una mirada, pero no lo abrió.Creo que adentro encontrarás el testamento y todos los otros papeles dijo el mago
658;Tú eres ahora el amo de Bolsón Cerrado
659;Supongo que encontrarás también un Anillo de oro
660;¡El Anillo! exclamó Frodo.¿M e ha dejado el Anillo? Me pregunto por qué
661;Bueno, quizá me sirva de algo
662;Sí y no dijo Gandalf .En tu lugar, yo no lo usaría
663;Pero guárdalo en secreto ¡y en sitio seguro! Bien, me voy a la cama
664;Como amo de Bolsón Cerrado, Frodo sintió que era su penoso deber despedir a los huéspedes
665;Rumores sobre extraños acontecimientos se habían diseminado por el campo
666;Frodo nada dijo, pero sin duda todo se aclararía por la mañana
667;Alrededor de medianoche comenzaron a llegar los carruajes de la gente importante y así fueron desapareciendo, uno a uno, cargados con hobbits hartos pero insatisfechos
668;Al fin se llamó a los jardineros, que trasladaron en carretillas a quienes habían quedado rezagados
669;La noche pasó lentamente
670;Salió el sol
671;Los hobbits se levantaron bastante tarde y la mañana prosiguió
672;Se solicitó el concurso de gente, que recibió orden de despejar los pabellones y quitar mesas, sillas, cucharas, cuchillos, botellas, platos, linternas, macetas de arbustos en flor, migajas, papeles, carteras, pañuelos y guantes olvidados, y alimentos no consumidos, que eran muy pocos
673;Luego llegó una serie de personas no solicitadas, los Bolsón, Boffin, Bolger, Tuk y otros huéspedes que vivían o andaban cerca
674;Hacia el mediodía, cuando hasta los más comilones ya estaban de regreso, había en Bolsón Cerrado una gran multitud, no invitada, pero no inesperada
675;Frodo los esperaba en la escalera, sonriendo, aunque con aire fatigado y preocupado
676;Saludó a todos, pero no les pudo dar más explicaciones que en la víspera
